Longitude,Latitude,Value
120.6154,13.9574,3
120.6163667,13.95815,1
120.6162167,13.95816667,1
120.6160167,13.9581,1
120.61585,13.95806667,1
120.6157667,13.95786667,1
120.6158,13.95775,1
120.6158833,13.95753333,1
120.6158667,13.95753333,1
120.6163333,13.95708333,1
120.6167333,13.95728333,1
120.6168667,13.95735,2
120.6169333,13.95755,2
120.617,13.95736667,2
120.6155167,13.95668333,3
120.6156,13.95646667,3
120.61575,13.95646667,3
120.6159333,13.95646667,3
120.61605,13.95616667,3
120.6155333,13.9569,3
120.6154167,13.95723333,3
120.6154,13.9574,3
120.6166736,13.9588601,2
120.6166116,13.9588354,2
120.6165673,13.9588283,2
120.6165442,13.9588152,2
120.6165107,13.9588318,1
120.6164902,13.9588026,1
120.6164755,13.9588009,1
120.6164151,13.958784,1
120.6163621,13.9587564,1
120.6163085,13.9587433,1
120.6162558,13.9587209,1
120.6161928,13.9587105,1
120.6161449,13.9586968,1
120.6160942,13.9586812,1
120.6160205,13.9586431,1
120.6159799,13.9586291,1
120.6159343,13.9585982,1
120.6158867,13.9585813,1
120.6158334,13.9585673,1
120.6157811,13.958551,1
120.6157385,13.9585462,1
120.6156815,13.9585331,1
120.6156332,13.9585305,1
120.6155833,13.9585292,3
120.6155417,13.9585257,3
120.6155038,13.9585343,3
120.6154576,13.9585426,3
120.6154039,13.9585179,3
120.6153707,13.9585276,3
120.6153288,13.9585452,3
120.6152946,13.9585481,3
120.6158277,13.9603214,1
120.6158334,13.9603051,1
120.6158659,13.9602391,1
120.6158669,13.9601834,1
120.6158699,13.9601613,1
120.6158565,13.9601236,1
120.6158619,13.9600784,1
120.6158669,13.9600377,1
120.6158693,13.9599931,1
120.6158803,13.9599231,1
120.6158733,13.959904,2
120.615874,13.9598776,1
120.6158847,13.9598356,1
120.6158723,13.9597943,1
120.6158961,13.9597435,1
120.6159068,13.9597045,1
120.6159142,13.9596524,1
120.6159202,13.9596199,2
120.6159209,13.9595815,1
120.6159276,13.959546,1
120.6159233,13.9595031,1
120.6159206,13.9594608,1
120.6159263,13.9594178,1
120.615936,13.9593589,1
120.6159417,13.9593189,1
120.6159447,13.9592825,1
120.6159638,13.9592324,1
120.6159635,13.9591953,1
120.6159886,13.9591396,1
120.6160044,13.9591039,1
120.6160094,13.9590629,1
120.6160215,13.950092,1
120.6160259,13.9589434,1
120.6160543,13.9588813,1
120.6160594,13.9588413,1
120.6160812,13.9587934,1
120.6160812,13.9587934,1
120.6160855,13.9587313,1
120.6161056,13.9586991,1
120.6161244,13.9586448,1
120.6161234,13.9585982,1
120.6161526,13.9585338,1
120.6161425,13.9585146,1
120.6161586,13.9584622,1
120.6161636,13.9584089,1
120.6161945,13.9583672,1
120.6162027,13.9583308,1
120.616223,13.9582846,1
120.6162337,13.9582491,1
120.6162465,13.9581931,1
120.6162706,13.9581473,1
120.616283,13.9581063,1
